event,date,url
UFC Fight Night: Boetsch vs Henderson,2015-06-06,https://www.bestfightodds.com/events/ufc-fight-night-68-henderson-vs-boetsch-947
UFC 188: Velasquez vs Werdum,2015-06-13,https://www.bestfightodds.com/events/ufc-188-velasquez-vs-werdum-930
UFC Fight Night: Jedrzejczyk vs Penne,2015-06-20,https://www.bestfightodds.com/events/ufc-fight-night-69-jedrzejczyk-vs-penne-964
UFC Fight Night: Machida vs Romero,2015-06-27,https://www.bestfightodds.com/events/ufc-fight-night-70-machida-vs-romero-973
UFC 189: Mendes vs McGregor,2015-07-11,https://www.bestfightodds.com/events/ufc-189-mendes-vs-mcgregor-942
The Ultimate Fighter: American Top Team vs. Blackzilians Finale,2015-07-12,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-21-finale-ellenberger-vs-thompson-971
UFC Fight Night: Mir vs Duffee,2015-07-15,https://www.bestfightodds.com/events/ufc-fight-night-71-mir-vs-duffee-965
UFC Fight Night: Bisping vs Leites,2015-07-18,https://www.bestfightodds.com/events/ufc-fight-night-72-bisping-vs-leites-975
UFC on FOX: Dillashaw vs. Barao II,2015-07-25,https://www.bestfightodds.com/events/ufc-on-fox-16-dillashaw-vs-barao-2-967
UFC 190: Rousey vs Correia,2015-08-01,https://www.bestfightodds.com/events/ufc-190-rousey-vs-correia-960
UFC Fight Night: Teixeira vs Saint Preux,2015-08-08,https://www.bestfightodds.com/events/ufc-fight-night-73-saint-preux-vs-teixeira-979
UFC Fight Night: Holloway vs Oliveira,2015-08-23,https://www.bestfightodds.com/events/ufc-fight-night-74-holloway-vs-oliveira-984
UFC 191: Johnson vs Dodson 2,2015-09-05,https://www.bestfightodds.com/events/ufc-191-johnson-vs-dodson-ii-992
UFC Fight Night: Barnett vs Nelson,2015-09-26,https://www.bestfightodds.com/events/ufc-fight-night-75-nelson-vs-barnett-1003
UFC 192: Cormier vs Gustafsson,2015-10-03,https://www.bestfightodds.com/events/ufc-192-cormier-vs-gustafsson-990
UFC Fight Night: Holohan vs Smolka,2015-10-24,https://www.bestfightodds.com/events/ufc-fight-night-76-holohan-vs-smolka-976
UFC Fight Night: Belfort vs Henderson 3,2015-11-07,https://www.bestfightodds.com/events/ufc-fight-night-77-belfort-vs-henderson-3-997
UFC 193: Rousey vs Holm,2015-11-14,https://www.bestfightodds.com/events/ufc-193-rousey-vs-holm-1002
UFC Fight Night: Magny vs Gastelum,2015-11-21,https://www.bestfightodds.com/events/ufc-fight-night-78-magny-vs-gastelum-999
UFC Fight Night: Henderson vs Masvidal,2015-11-28,https://www.bestfightodds.com/events/ufc-fight-night-79-henderson-vs-masvidal-1013
UFC Fight Night: Namajunas vs. VanZant,2015-12-10,https://www.bestfightodds.com/events/ufc-fight-night-80-vanzant-vs-namajunas-1023
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,2015-12-11,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-22-finale-edgar-vs-mendes-1011
UFC 194: Aldo vs McGregor,2015-12-12,https://www.bestfightodds.com/events/ufc-194-aldo-vs-mcgregor-1005
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,https://www.bestfightodds.com/events/ufc-on-fox-17-dos-anjos-vs-cerrone-1008
UFC 195: Lawler vs Condit,2016-01-02,https://www.bestfightodds.com/events/ufc-195-lawler-vs-condit-1012
UFC Fight Night: Dillashaw vs Cruz,2016-01-17,https://www.bestfightodds.com/events/ufc-fight-night-81-dillashaw-vs-cruz-1022
UFC on FOX: Johnson vs. Bader,2016-01-30,https://www.bestfightodds.com/events/ufc-on-fox-18-johnson-vs-bader-1038
UFC Fight Night: Hendricks vs Thompson,2016-02-06,https://www.bestfightodds.com/events/ufc-fight-night-82-hendricks-vs-thompson-1056
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,https://www.bestfightodds.com/events/ufc-fight-night-83-cowboy-vs-cowboy-1057
UFC Fight Night: Silva vs Bisping,2016-02-27,https://www.bestfightodds.com/events/ufc-fight-night-84-silva-vs-bisping-1052
UFC 196: McGregor vs Diaz,2016-03-05,https://www.bestfightodds.com/events/ufc-196-mcgregor-vs-diaz-1060
UFC Fight Night: Hunt vs Mir,2016-03-19,https://www.bestfightodds.com/events/ufc-fight-night-85-hunt-vs-mir-1062
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,https://www.bestfightodds.com/events/ufc-fight-night-86-rothwell-vs-dos-santos-1077
UFC on FOX: Teixeira vs Evans,2016-04-16,https://www.bestfightodds.com/events/ufc-on-fox-19-evans-vs-teixeira-1073
UFC 197: Jones vs Saint Preux,2016-04-23,https://www.bestfightodds.com/events/ufc-197-jones-vs-saint-preux-1080
UFC Fight Night: Overeem vs Arlovski,2016-05-08,https://www.bestfightodds.com/events/ufc-fight-night-87-overeem-vs-arlovski-1088
UFC 198: Werdum vs Miocic,2016-05-14,https://www.bestfightodds.com/events/ufc-198-werdum-vs-miocic-1070
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,https://www.bestfightodds.com/events/ufc-fight-night-88-almeida-vs-garbrandt-1104
UFC 199: Rockhold vs. Bisping 2,2016-06-04,https://www.bestfightodds.com/events/ufc-199-rockhold-vs-bisping-ii-1081
UFC Fight Night: MacDonald vs Thompson,2016-06-18,https://www.bestfightodds.com/events/ufc-fight-night-89-macdonald-vs-thompson-1098
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,https://www.bestfightodds.com/events/ufc-fight-night-90-dos-anjos-vs-alvarez-1118
The Ultimate Fighter: Team Joanna vs. Team Cl?udia Finale,2016-07-08,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-23-finale-team-joanna-vs-team-claudia-1067
UFC 200: Tate vs Nunes,2016-07-09,https://www.bestfightodds.com/events/ufc-200-tate-vs-nunes-1102
UFC Fight Night: McDonald vs. Lineker,2016-07-13,https://www.bestfightodds.com/events/ufc-fight-night-91-mcdonald-vs-lineker-1120
UFC on FOX: Holm vs. Shevchenko,2016-07-23,https://www.bestfightodds.com/events/ufc-on-fox-20-holm-vs-shevchenko-1114
UFC 201: Lawler vs. Woodley,2016-07-30,https://www.bestfightodds.com/events/ufc-201-lawler-vs-woodley-1129
UFC Fight Night: Rodriguez vs. Caceres,2016-08-06,https://www.bestfightodds.com/events/ufc-fight-night-92-rodriguez-vs-caceres-1146
UFC 202: Diaz vs. McGregor 2,2016-08-20,https://www.bestfightodds.com/events/ufc-202-diaz-vs-mcgregor-2-1143
UFC on FOX: Maia vs. Condit,2016-08-27,https://www.bestfightodds.com/events/ufc-on-fox-21-maia-vs-condit-1150
UFC Fight Night: Arlovski vs. Barnett,2016-09-03,https://www.bestfightodds.com/events/ufc-fight-night-93-arlovski-vs-barnett-1139
UFC 203: Miocic vs. Overeem,2016-09-10,https://www.bestfightodds.com/events/ufc-203-miocic-vs-overeem-1138
UFC Fight Night: Poirier vs. Johnson,2016-09-17,https://www.bestfightodds.com/events/ufc-fight-night-94-johnson-vs-poirier-1160
UFC Fight Night: Cyborg vs. Lansberg,2016-09-24,https://www.bestfightodds.com/events/ufc-fight-night-95-cyborg-vs-lansberg-1167
UFC Fight Night: Lineker vs. Dodson,2016-10-01,https://www.bestfightodds.com/events/ufc-fight-night-96-lineker-vs-dodson-1165
UFC 204: Bisping vs. Henderson,2016-10-08,https://www.bestfightodds.com/events/ufc-204-bisping-vs-henderson-2-1168
UFC Fight Night: Dos Anjos vs. Ferguson,2016-11-05,https://www.bestfightodds.com/events/ufc-fight-night-98-dos-anjos-vs-ferguson-1164
UFC 205: Alvarez vs McGregor,2016-11-12,https://www.bestfightodds.com/events/ufc-205-alvarez-vs-mcgregor-1188
UFC Fight Night: Bader vs. Nogueira,2016-11-19,https://www.bestfightodds.com/events/ufc-fight-night-100-bader-vs-nogueira-1185
UFC Fight Night: Mousasi vs. Hall 2,2016-11-19,https://www.bestfightodds.com/events/ufc-fight-night-99-mousasi-vs-hall-2-1184
UFC Fight Night: Whittaker vs. Brunson,2016-11-26,https://www.bestfightodds.com/events/ufc-fight-night-101-whittaker-vs-brunson-1191
The Ultimate Fighter: Tournament of Champions Finale,2016-12-03,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-24-finale-1135
UFC Fight Night: Lewis vs. Abdurakhimov,2016-12-09,https://www.bestfightodds.com/events/ufc-fight-night-102-lewis-vs-abdurakhimov-1203
UFC 206: Holloway vs. Pettis,2016-12-10,https://www.bestfightodds.com/events/ufc-206-holloway-vs-pettis-1204
UFC on FOX: VanZant vs. Waterson,2016-12-17,https://www.bestfightodds.com/events/ufc-on-fox-22-vanzant-vs-waterson-1207
UFC 207: Nunes vs. Rousey,2016-12-30,https://www.bestfightodds.com/events/ufc-207-nunes-vs-rousey-1210
UFC Fight Night: Rodriguez vs. Penn,2017-01-15,https://www.bestfightodds.com/events/ufc-fight-night-103-rodriguez-vs-penn-1219
UFC on FOX: Shevchenko vs. Pena,2017-01-28,https://www.bestfightodds.com/events/ufc-on-fox-23-shevchenko-vs-pena-1225
UFC Fight Night: Bermudez vs. The Korean Zombie,2017-02-04,https://www.bestfightodds.com/events/ufc-fight-night-104-bermudez-vs-korean-zombie-1226
UFC 208: Holm vs. De Randamie,2017-02-11,https://www.bestfightodds.com/events/ufc-208-holm-vs-de-randamie-1229
UFC Fight Night: Lewis vs. Browne,2017-02-19,https://www.bestfightodds.com/events/ufc-fight-night-105-lewis-vs-browne-1228
UFC 209: Woodley vs. Thompson 2,2017-03-04,https://www.bestfightodds.com/events/ufc-209-woodley-vs-thompson-2-1234
UFC Fight Night: Belfort vs. Gastelum,2017-03-11,https://www.bestfightodds.com/events/ufc-fight-night-106-belfort-vs-gastelum-1231
UFC Fight Night: Manuwa vs. Anderson,2017-03-18,https://www.bestfightodds.com/events/ufc-fight-night-107-manuwa-vs-anderson-1246
UFC 210: Cormier vs. Johnson 2,2017-04-08,https://www.bestfightodds.com/events/ufc-210-cormier-vs-johnson-2-1248
UFC on FOX: Johnson vs. Reis,2017-04-15,https://www.bestfightodds.com/events/ufc-on-fox-24-johnson-vs-reis-1259
UFC Fight Night: Swanson vs. Lobov,2017-04-22,https://www.bestfightodds.com/events/ufc-fight-night-108-swanson-vs-lobov-1258
UFC 211: Miocic vs. Dos Santos,2017-05-13,https://www.bestfightodds.com/events/ufc-211-miocic-vs-dos-santos-2-1252
UFC Fight Night: Gustafsson vs. Teixeira,2017-05-28,https://www.bestfightodds.com/events/ufc-fight-night-109-gustafsson-vs-teixeira-1265
UFC 212: Aldo vs. Holloway,2017-06-03,https://www.bestfightodds.com/events/ufc-212-aldo-vs-holloway-1257
UFC Fight Night: Lewis vs. Hunt,2017-06-10,https://www.bestfightodds.com/events/ufc-fight-night-110-lewis-vs-hunt-1275
UFC Fight Night: Holm vs. Correia,2017-06-17,https://www.bestfightodds.com/events/ufc-fight-night-111-holm-vs-correia-1277
UFC Fight Night: Chiesa vs. Lee,2017-06-25,https://www.bestfightodds.com/events/ufc-fight-night-112-chiesa-vs-lee-1276
The Ultimate Fighter: Redemption Finale,2017-07-07,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-25-finale-johnson-vs-gaethje-1289
UFC 213: Romero vs. Whittaker,2017-07-08,https://www.bestfightodds.com/events/ufc-213-romero-vs-whittaker-1282
DWCS 1.1,2017-07-11,https://www.bestfightodds.com/events/dana-white-s-contender-series-1-1330
UFC Fight Night: Nelson vs. Ponzinibbio,2017-07-16,https://www.bestfightodds.com/events/ufc-fight-night-113-nelson-vs-ponzinibbio-1293
DWCS 1.2,2017-07-18,https://www.bestfightodds.com/events/dana-white-s-contender-series-2-1335
UFC Fight Night: Weidman vs. Gastelum,2017-07-22,https://www.bestfightodds.com/events/ufc-on-fox-25-weidman-vs-gastelum-1292
DWCS 1.3,2017-07-25,https://www.bestfightodds.com/events/dana-white-s-contender-series-3-1338
UFC 214: Cormier vs. Jones 2,2017-07-29,https://www.bestfightodds.com/events/ufc-214-cormier-vs-jones-2-1303
DWCS 1.4,2017-08-01,https://www.bestfightodds.com/events/dana-white-s-contender-series-4-1340
UFC Fight Night: Pettis vs. Moreno,2017-08-05,https://www.bestfightodds.com/events/ufc-fight-night-114-pettis-vs-moreno-1307
DWCS 1.5,2017-08-08,https://www.bestfightodds.com/events/dana-white-s-contender-series-5-1349
DWCS 1.6,2017-08-15,https://www.bestfightodds.com/events/dana-white-s-contender-series-6-1355
DWCS 1.7,2017-08-22,https://www.bestfightodds.com/events/dana-white-s-contender-series-7-1359
DWCS 1.8,2017-08-29,https://www.bestfightodds.com/events/dana-white-s-contender-series-8-1360
UFC Fight Night: Volkov vs. Struve,2017-09-02,https://www.bestfightodds.com/events/ufc-fight-night-115-volkov-vs-struve-1310
UFC 215: Nunes vs Shevchenko 2,2017-09-09,https://www.bestfightodds.com/events/ufc-215-nunes-vs-shevchenko-2-1308
UFC Fight Night: Rockhold vs. Branch,2017-09-16,https://www.bestfightodds.com/events/ufc-fight-night-116-rockhold-vs-branch-1343
UFC Fight Night: Saint Preux vs. Okami,2017-09-22,https://www.bestfightodds.com/events/ufc-fight-night-117-saint-preux-vs-okami-1332
UFC 216: Ferguson vs. Lee,2017-10-07,https://www.bestfightodds.com/events/ufc-216-ferguson-vs-lee-1341
UFC Fight Night: Cerrone vs. Till,2017-10-21,https://www.bestfightodds.com/events/ufc-fight-night-118-cerrone-vs-till-1356
UFC Fight Night: Brunson vs. Machida,2017-10-28,https://www.bestfightodds.com/events/ufc-fight-night-119-machida-vs-brunson-1352
UFC 217: Bisping vs. St-Pierre,2017-11-04,https://www.bestfightodds.com/events/ufc-217-bisping-vs-st-pierre-1348
UFC Fight Night: Poirier vs. Pettis,2017-11-11,https://www.bestfightodds.com/events/ufc-fight-night-120-poirier-vs-pettis-1353
UFC Fight Night: Werdum vs. Tybura,2017-11-18,https://www.bestfightodds.com/events/ufc-fight-night-121-werdum-vs-tybura-1354
UFC Fight Night: Bisping vs. Gastelum,2017-11-25,https://www.bestfightodds.com/events/ufc-fight-night-122-bisping-vs-gastelum-1363
The Ultimate Fighter: A New World Champion Finale,2017-12-01,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-26-finale-1364
UFC 218: Holloway vs. Aldo 2,2017-12-02,https://www.bestfightodds.com/events/ufc-218-holloway-vs-aldo-2-1368
UFC Fight Night: Swanson vs. Ortega,2017-12-09,https://www.bestfightodds.com/events/ufc-fight-night-123-swanson-vs-ortega-1386
UFC Fight Night: Lawler vs. Dos Anjos,2017-12-16,https://www.bestfightodds.com/events/ufc-on-fox-26-lawler-vs-dos-anjos-1365
UFC 219: Cyborg vs. Holm,2017-12-30,https://www.bestfightodds.com/events/ufc-219-cyborg-vs-holm-1387
UFC Fight Night: Stephens vs. Choi,2018-01-14,https://www.bestfightodds.com/events/ufc-fight-night-124-stephens-vs-choi-1408
UFC 220: Miocic vs. Ngannou,2018-01-20,https://www.bestfightodds.com/events/ufc-220-miocic-vs-ngannou-1406
UFC Fight Night: Jacare vs. Brunson 2,2018-01-27,https://www.bestfightodds.com/events/ufc-on-fox-27-jacare-vs-brunson-2-1413
UFC Fight Night: Machida vs. Anders,2018-02-03,https://www.bestfightodds.com/events/ufc-fight-night-125-machida-vs-anders-1418
UFC 221: Romero vs. Rockhold,2018-02-10,https://www.bestfightodds.com/events/ufc-221-romero-vs-rockhold-1411
UFC Fight Night: Cerrone vs. Medeiros,2018-02-18,https://www.bestfightodds.com/events/ufc-fight-night-126-cerrone-vs-medeiros-1412
UFC Fight Night: Emmett vs. Stephens,2018-02-24,https://www.bestfightodds.com/events/ufc-on-fox-28-stephens-vs-emmett-1425
UFC 222: Cyborg vs. Kunitskaya,2018-03-03,https://www.bestfightodds.com/events/ufc-222-cyborg-vs-kunitskaya-1422
UFC Fight Night: Werdum vs. Volkov,2018-03-17,https://www.bestfightodds.com/events/ufc-fight-night-127-werdum-vs-volkov-1423
UFC 223: Khabib vs. Iaquinta,2018-04-07,https://www.bestfightodds.com/events/ufc-223-nurmagomedov-vs-iaquinta-1444
UFC Fight Night: Poirier vs. Gaethje,2018-04-14,https://www.bestfightodds.com/events/ufc-on-fox-29-poirier-vs-gaethje-1446
UFC Fight Night: Barboza vs. Lee,2018-04-21,https://www.bestfightodds.com/events/ufc-fight-night-128-barboza-vs-lee-1455
UFC 224: Nunes vs. Pennington,2018-05-12,https://www.bestfightodds.com/events/ufc-224-nunes-vs-pennington-1453
UFC Fight Night: Maia vs. Usman,2018-05-19,https://www.bestfightodds.com/events/ufc-fight-night-129-maia-vs-usman-1468
UFC Fight Night: Thompson vs. Till,2018-05-27,https://www.bestfightodds.com/events/ufc-fight-night-130-thompson-vs-till-1478
UFC Fight Night: Rivera vs. Moraes,2018-06-01,https://www.bestfightodds.com/events/ufc-fight-night-131-rivera-vs-moraes-1467
UFC 225: Whittaker vs. Romero 2,2018-06-09,https://www.bestfightodds.com/events/ufc-225-whittaker-vs-romero-2-1459
DWCS 2.1,2018-06-12,https://www.bestfightodds.com/events/dana-white-s-contender-series-9-1515
DWCS 2.2,2018-06-19,https://www.bestfightodds.com/events/dana-white-s-contender-series-10-1516
UFC Fight Night: Cowboy vs. Edwards,2018-06-23,https://www.bestfightodds.com/events/ufc-fight-night-132-cowboy-vs-edwards-1475
DWCS 2.3,2018-06-26,https://www.bestfightodds.com/events/dana-white-s-contender-series-11-1517
The Ultimate Fighter: Undefeated Finale,2018-07-06,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-27-finale-tavares-vs-adesanya-1503
UFC 226: Miocic vs. Cormier,2018-07-07,https://www.bestfightodds.com/events/ufc-226-miocic-vs-cormier-1447
DWCS 2.4,2018-07-10,https://www.bestfightodds.com/events/dana-white-s-contender-series-12-1518
UFC Fight Night: Dos Santos vs. Ivanov,2018-07-14,https://www.bestfightodds.com/events/ufc-fight-night-133-dos-santos-vs-ivanov-1504
DWCS 2.5,2018-07-17,https://www.bestfightodds.com/events/dana-white-s-contender-series-13-1531
UFC Fight Night: Shogun vs. Smith,2018-07-22,https://www.bestfightodds.com/events/ufc-fight-night-134-shogun-vs-smith-1507
DWCS 2.6,2018-07-24,https://www.bestfightodds.com/events/dana-white-s-contender-series-14-1550
UFC Fight Night: Alvarez vs. Poirier 2,2018-07-28,https://www.bestfightodds.com/events/ufc-on-fox-30-alvarez-vs-poirier-2-1502
DWCS 2.7,2018-07-31,https://www.bestfightodds.com/events/dana-white-s-contender-series-15-1555
UFC 227: Dillashaw vs. Garbrandt 2,2018-08-04,https://www.bestfightodds.com/events/ufc-227-dillashaw-vs-garbrandt-2-1492
DWCS 2.8,2018-08-07,https://www.bestfightodds.com/events/dana-white-s-contender-series-16-1563
DWCS Brazil 1.1,2018-08-10,
DWCS Brazil 1.2,2018-08-11,
DWCS Brazil 1.3,2018-08-12,
UFC Fight Night: Gaethje vs. Vick,2018-08-25,https://www.bestfightodds.com/events/ufc-fight-night-135-gaethje-vs-vick-1528
UFC 228: Woodley vs. Till,2018-09-08,https://www.bestfightodds.com/events/ufc-228-woodley-vs-till-1530
UFC Fight Night: Hunt vs. Oleinik,2018-09-15,https://www.bestfightodds.com/events/ufc-fight-night-136-hunt-vs-oleinik-1539
UFC Fight Night: Marreta vs. Anders,2018-09-22,https://www.bestfightodds.com/events/ufc-fight-night-137-santos-vs-anders-1544
UFC 229: Khabib vs. McGregor,2018-10-06,https://www.bestfightodds.com/events/ufc-229-nurmagomedov-vs-mcgregor-1566
UFC Fight Night: Oezdemir vs. Smith,2018-10-27,https://www.bestfightodds.com/events/ufc-fight-night-138-volkan-vs-smith-1564
UFC 230: Cormier vs. Lewis,2018-11-03,https://www.bestfightodds.com/events/ufc-230-cormier-vs-lewis-1562
UFC Fight Night: Korean Zombie vs. Rodriguez,2018-11-10,https://www.bestfightodds.com/events/ufc-fight-night-139-korean-zombie-vs-rodriguez-1559
UFC Fight Night: Magny vs. Ponzinibbio,2018-11-17,https://www.bestfightodds.com/events/ufc-fight-night-140-magny-vs-ponzinibbio-1578
UFC Fight Night: Blaydes vs. Ngannou 2,2018-11-24,https://www.bestfightodds.com/events/ufc-fight-night-141-blaydes-vs-ngannou-2-1579
The Ultimate Fighter: Heavy Hitters Finale,2018-11-30,https://www.bestfightodds.com/events/ufc-the-ultimate-fighter-28-finale-dos-anjos-vs-usman-1586
UFC Fight Night: Dos Santos vs. Tuivasa,2018-12-01,https://www.bestfightodds.com/events/ufc-fight-night-142-dos-santos-vs-tuivasa-1574
UFC 231: Holloway vs. Ortega,2018-12-08,https://www.bestfightodds.com/events/ufc-231-holloway-vs-ortega-1584
UFC Fight Night: Lee vs. Iaquinta,2018-12-15,https://www.bestfightodds.com/events/ufc-on-fox-31-lee-vs-iaquinta-2-1587
UFC 232: Jones vs. Gustafsson 2,2018-12-29,https://www.bestfightodds.com/events/ufc-232-jones-vs-gustafsson-2-1583
UFC Fight Night: Cejudo vs. Dillashaw,2019-01-19,https://www.bestfightodds.com/events/ufc-on-espn-1-cejudo-vs-dillashaw-1623
UFC Fight Night: Assuncao vs. Moraes 2,2019-02-02,https://www.bestfightodds.com/events/ufc-on-espn-2-assuncao-vs-moraes-2-1628
UFC 234: Adesanya vs. Silva,2019-02-09,https://www.bestfightodds.com/events/ufc-234-adesanya-vs-silva-1620
UFC Fight Night: Ngannou vs. Velasquez,2019-02-17,https://www.bestfightodds.com/events/ufc-on-espn-1-ngannou-vs-velasquez-1637
UFC Fight Night: Blachowicz vs. Santos,2019-02-23,https://www.bestfightodds.com/events/ufc-on-espn-3-blachowicz-vs-santos-1638
UFC 235: Jones vs. Smith,2019-03-02,https://www.bestfightodds.com/events/ufc-235-jones-vs-smith-1625
UFC Fight Night: Lewis vs. Dos Santos,2019-03-09,https://www.bestfightodds.com/events/ufc-on-espn-4-lewis-vs-dos-santos-1639
UFC Fight Night: Till vs. Masvidal,2019-03-16,https://www.bestfightodds.com/events/ufc-on-espn-5-till-vs-masvidal-1626
UFC Fight Night: Thompson vs. Pettis,2019-03-23,https://www.bestfightodds.com/events/ufc-on-espn-6-thompson-vs-pettis-1654
UFC Fight Night: Barboza vs. Gaethje,2019-03-30,https://www.bestfightodds.com/events/ufc-on-espn-2-barboza-vs-gaethje-1648
UFC 236: Holloway vs. Poirier 2,2019-04-13,https://www.bestfightodds.com/events/ufc-236-holloway-vs-poirier-2-1666
UFC Fight Night: Overeem vs. Oleinik,2019-04-20,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-oleinik-1673
UFC Fight Night: Jacare vs. Hermansson,2019-04-27,https://www.bestfightodds.com/events/ufc-on-espn-8-jacare-vs-hermansson-1657
UFC Fight Night: Iaquinta vs. Cowboy,2019-05-04,https://www.bestfightodds.com/events/ufc-on-espn-9-iaquinta-vs-cowboy-1672
UFC 237: Namajunas vs. Andrade,2019-05-11,https://www.bestfightodds.com/events/ufc-237-namajunas-vs-andrade-1647
UFC Fight Night: Dos Anjos vs. Lee,2019-05-18,https://www.bestfightodds.com/events/ufc-on-espn-10-dos-anjos-vs-lee-1674
UFC Fight Night: Gustafsson vs. Smith,2019-06-01,https://www.bestfightodds.com/events/ufc-on-espn-11-gustafsson-vs-smith-1676
UFC 238: Cejudo vs. Moraes,2019-06-08,https://www.bestfightodds.com/events/ufc-238-cejudo-vs-moraes-1677
DWCS 3.1,2019-06-18,https://www.bestfightodds.com/events/dana-white-s-contender-series-17-1712
UFC Fight Night: Moicano vs. The Korean Zombie,2019-06-22,https://www.bestfightodds.com/events/ufc-on-espn-12-moicano-vs-the-korean-zombie-1680
DWCS 3.2,2019-06-25,https://www.bestfightodds.com/events/dana-white-s-contender-series-18-1718
UFC Fight Night: Ngannou vs. Dos Santos,2019-06-29,https://www.bestfightodds.com/events/ufc-on-espn-3-ngannou-vs-dos-santos-1687
UFC 239: Jones vs. Santos,2019-07-06,https://www.bestfightodds.com/events/ufc-239-jones-vs-santos-1686
DWCS 3.3,2019-07-09,https://www.bestfightodds.com/events/dana-white-s-contender-series-19-1748
UFC Fight Night: De Randamie vs. Ladd,2019-07-13,https://www.bestfightodds.com/events/ufc-on-espn-13-de-randamie-vs-ladd-1714
DWCS 3.4,2019-07-16,https://www.bestfightodds.com/events/dana-white-s-contender-series-20-1728
UFC Fight Night: Dos Anjos vs. Edwards,2019-07-20,https://www.bestfightodds.com/events/ufc-on-espn-4-dos-anjos-vs-edwards-1717
DWCS 3.5,2019-07-23,https://www.bestfightodds.com/events/dana-white-s-contender-series-21-1741
UFC 240: Holloway vs. Edgar,2019-07-27,https://www.bestfightodds.com/events/ufc-240-holloway-vs-edgar-1713
DWCS 3.6,2019-07-30,https://www.bestfightodds.com/events/dana-white-s-contender-series-22-1742
UFC Fight Night: Covington vs. Lawler,2019-08-03,https://www.bestfightodds.com/events/ufc-on-espn-5-covington-vs-lawler-1734
DWCS 3.7,2019-08-06,https://www.bestfightodds.com/events/dana-white-s-contender-series-23-1775
UFC Fight Night: Shevchenko vs. Carmouche 2,2019-08-10,https://www.bestfightodds.com/events/ufc-on-espn-14-shevchenko-vs-carmouche-2-1724
DWCS 3.8,2019-08-13,https://www.bestfightodds.com/events/dana-white-s-contender-series-24-1767
UFC 241: Cormier vs. Miocic 2,2019-08-17,https://www.bestfightodds.com/events/ufc-241-cormier-vs-miocic-2-1709
DWCS 3.9,2019-08-20,https://www.bestfightodds.com/events/dana-white-s-contender-series-25-1776
DWCS 3.10,2019-08-27,https://www.bestfightodds.com/events/dana-white-s-contender-series-26-1782
UFC Fight Night: Andrade vs. Zhang,2019-08-31,https://www.bestfightodds.com/events/ufc-on-espn-15-andrade-vs-zhang-1733
UFC 242: Khabib vs. Poirier,2019-09-07,https://www.bestfightodds.com/events/ufc-242-khabib-vs-poirier-1715
UFC Fight Night: Cowboy vs. Gaethje,2019-09-14,https://www.bestfightodds.com/events/ufc-on-espn-16-cowboy-vs-gaethje-1735
UFC Fight Night: Rodriguez vs. Stephens,2019-09-21,https://www.bestfightodds.com/events/ufc-on-espn-17-rodriguez-vs-stephens-1753
UFC Fight Night: Hermansson vs. Cannonier,2019-09-28,https://www.bestfightodds.com/events/ufc-on-espn-18-hermansson-vs-cannonier-1747
UFC 243: Whittaker vs. Adesanya,2019-10-05,https://www.bestfightodds.com/events/ufc-243-whittaker-vs-adesanya-1752
UFC Fight Night: Joanna vs. Waterson,2019-10-12,https://www.bestfightodds.com/events/ufc-on-espn-19-joanna-vs-waterson-1751
UFC Fight Night: Reyes vs. Weidman,2019-10-18,https://www.bestfightodds.com/events/ufc-on-espn-6-reyes-vs-weidman-1764
UFC Fight Night: Maia vs. Askren,2019-10-26,https://www.bestfightodds.com/events/ufc-on-espn-20-maia-vs-askren-1793
UFC 244: Masvidal vs. Diaz,2019-11-02,https://www.bestfightodds.com/events/ufc-244-masvidal-vs-diaz-1771
UFC Fight Night: Zabit vs. Kattar,2019-11-09,https://www.bestfightodds.com/events/ufc-on-espn-21-zabit-vs-kattar-1795
UFC Fight Night: Blachowicz vs. Jacare,2019-11-16,https://www.bestfightodds.com/events/ufc-on-espn-22-blachowicz-vs-jacare-1755
UFC Fight Night: Overeem vs. Rozenstruik,2019-12-07,https://www.bestfightodds.com/events/ufc-on-espn-7-overeem-vs-rozenstruik-1785
UFC 245: Usman vs. Covington,2019-12-14,https://www.bestfightodds.com/events/ufc-245-usman-vs-covington-1787
UFC Fight Night: Edgar vs. The Korean Zombie,2019-12-21,https://www.bestfightodds.com/events/ufc-on-espn-23-edgar-vs-the-korean-zombie-1803
UFC 246: McGregor vs. Cowboy,2020-01-18,https://www.bestfightodds.com/events/ufc-246-mcgregor-vs-cowboy-1839
UFC Fight Night: Blaydes vs. Dos Santos,2020-01-25,https://www.bestfightodds.com/events/ufc-on-espn-24-blaydes-vs-dos-santos-1841
